  x,y,z,rho,u,v,w,p
    -0.275658,      0.794937,      0.000000,      0.694524,    312.559326,    108.488869,      0.000000,  49337.359375
    -0.259998,      0.800204,      0.000000,      0.693827,    314.831604,    102.421661,      0.000000,  49277.476562
    -0.244240,      0.805148,      0.000000,      0.693048,    317.018768,     96.319267,      0.000000,  49209.382812
    -0.228382,      0.809788,      0.000000,      0.692181,    319.122192,     90.182579,      0.000000,  49132.527344
    -0.212438,      0.814119,      0.000000,      0.691220,    321.142670,     84.015831,      0.000000,  49046.390625
    -0.196420,      0.818135,      0.000000,      0.690159,    323.081970,     77.819679,      0.000000,  48950.441406
    -0.180318,      0.821829,      0.000000,      0.688997,    324.939850,     71.594276,      0.000000,  48844.359375
    -0.164143,      0.825215,      0.000000,      0.687734,    326.712524,     65.344528,      0.000000,  48728.335938
    -0.147914,      0.828276,      0.000000,      0.686379,    328.393372,     59.074192,      0.000000,  48603.214844
    -0.131622,      0.831020,      0.000000,      0.684949,    329.971527,     52.788387,      0.000000,  48470.648438
    -0.115279,      0.833448,      0.000000,      0.683473,    331.427887,     46.497223,      0.000000,  48333.527344
    -0.098894,      0.835544,      0.000000,      0.682005,    332.730103,     40.214096,      0.000000,  48197.097656
    -0.082467,      0.837329,      0.000000,      0.680635,    333.825500,     33.964737,      0.000000,  48070.125000
    -0.066016,      0.838783,      0.000000,      0.679507,    334.633636,     27.793835,      0.000000,  47966.710938
    -0.049535,      0.839919,      0.000000,      0.678842,    335.036865,     21.780777,      0.000000,  47908.398438
    -0.033034,      0.840728,      0.000000,      0.678955,    334.880463,     16.067898,      0.000000,  47925.960938
    -0.016521,      0.841221,      0.000000,      0.680231,    334.000488,     10.864030,      0.000000,  48057.648438
     0.000000,      0.841379,      0.000000,      0.683030,    332.308685,      6.372282,      0.000000,  48339.562500
     0.017670,      0.841549,      0.000000,      0.687446,    329.937500,      2.849950,      0.000000,  48781.914062
     0.037110,      0.841739,      0.000000,      0.693079,    327.293304,      0.564237,      0.000000,  49346.023438
     0.058490,      0.841949,      0.000000,      0.699069,    324.903503,     -0.477472,      0.000000,  49946.378906
     0.082010,      0.842189,      0.000000,      0.704380,    323.186798,     -0.558044,      0.000000,  50478.867188
     0.107880,      0.842439,      0.000000,      0.708199,    322.323853,     -0.070402,      0.000000,  50859.679688
     0.136340,      0.842719,      0.000000,      0.710191,    322.274872,      0.650114,      0.000000,  51050.828125
     0.167640,      0.843029,      0.000000,      0.710537,    322.885956,      1.382676,      0.000000,  51061.589844
     0.202080,      0.843359,      0.000000,      0.709849,    324.019012,      1.989209,      0.000000,  50937.078125
     0.239950,      0.843739,      0.000000,      0.709040,    325.598175,      2.369651,      0.000000,  50749.789062
     0.281620,      0.844139,      0.000000,      0.708632,    326.810120,      2.531614,      0.000000,  50616.234375
    -0.848276,     -0.239970,      0.000000,      0.751856,      0.163215,    310.169159,      0.000000,  54425.851562
    -0.848276,     -0.202090,      0.000000,      0.752067,      0.248159,    310.140015,      0.000000,  54447.328125
    -0.848276,     -0.167650,      0.000000,      0.752428,      0.391578,    310.093597,      0.000000,  54483.871094
    -0.848276,     -0.136340,      0.000000,      0.752840,      0.581436,    310.059113,      0.000000,  54525.664062
    -0.848276,     -0.107880,      0.000000,      0.753217,      0.849222,    310.078644,      0.000000,  54563.953125
    -0.848276,     -0.082010,      0.000000,      0.753444,      1.238209,    310.207214,      0.000000,  54587.195312
    -0.848276,     -0.058490,      0.000000,      0.753365,      1.806373,    310.516144,      0.000000,  54579.460938
    -0.848276,     -0.037110,      0.000000,      0.752771,      2.632994,    311.089050,      0.000000,  54519.867188
    -0.848276,     -0.017670,      0.000000,      0.751420,      3.827758,    312.010437,      0.000000,  54384.152344
    -0.848276,      0.000000,      0.000000,      0.749083,      5.561553,    313.345184,      0.000000,  54149.746094
    -0.848116,      0.016656,      0.000000,      0.745620,      8.085272,    315.095490,      0.000000,  53803.753906
    -0.847620,      0.033305,      0.000000,      0.741077,     11.607078,    317.147064,      0.000000,  53352.148438
    -0.846804,      0.049941,      0.000000,      0.735752,     16.181618,    319.273132,      0.000000,  52825.597656
    -0.845659,      0.066557,      0.000000,      0.730147,     21.718460,    321.203217,      0.000000,  52274.753906
    -0.844192,      0.083143,      0.000000,      0.724826,     28.013571,    322.701111,      0.000000,  51755.250000
    -0.842393,      0.099705,      0.000000,      0.720248,     34.811005,    323.620941,      0.000000,  51311.828125
    -0.840280,      0.116224,      0.000000,      0.716667,     41.869267,    323.921143,      0.000000,  50968.808594
    -0.837832,      0.132700,      0.000000,      0.714126,     49.000443,    323.644226,      0.000000,  50729.445312
    -0.835065,      0.149127,      0.000000,      0.712508,     56.076008,    322.880615,      0.000000,  50581.714844
    -0.831979,      0.165489,      0.000000,      0.711615,     63.023430,    321.736389,      0.000000,  50505.679688
    -0.828566,      0.181796,      0.000000,      0.711233,     69.807487,    320.311035,      0.000000,  50479.910156
    -0.824841,      0.198030,      0.000000,      0.711169,     76.417603,    318.687042,      0.000000,  50485.210938
    -0.820792,      0.214180,      0.000000,      0.711269,     82.864891,    316.923370,      0.000000,  50506.460938
    -0.816426,      0.230254,      0.000000,      0.711425,     89.169754,    315.058838,      0.000000,  50532.812500
    -0.811748,      0.246242,      0.000000,      0.711564,     95.355263,    313.116058,      0.000000,  50557.164062
    -0.806763,      0.262130,      0.000000,      0.711641,    101.448074,    311.103607,      0.000000,  50575.296875
    -0.801453,      0.277918,      0.000000,      0.711639,    107.472450,    309.020203,      0.000000,  50585.269531
    -0.795842,      0.293601,      0.000000,      0.711553,    113.446358,    306.858917,      0.000000,  50586.890625
    -0.789925,      0.309174,      0.000000,      0.711391,    119.381081,    304.610535,      0.000000,  50580.980469
    -0.783702,      0.324623,      0.000000,      0.711169,    125.282867,    302.265137,      0.000000,  50569.042969
    -0.777180,      0.339947,      0.000000,      0.710903,    131.154953,    299.812683,      0.000000,  50552.757812
    -0.770352,      0.355141,      0.000000,      0.710610,    136.994949,    297.245880,      0.000000,  50533.859375
